asins,ean,upc,dimension,weight,keys,product_id
B0038NMC8O,,793000000000.0,Inconnue,5.2 pounds,"alpine/spe6000,alpine6122waycoaxialcarspeakerswithpolypropyleneconespairblack/b0038nmc8o,alpine6122waycoaxialcarspeakerswithpolypropyleneconespairblack/1416147,793276601483",AVpiFC-LilAPnD_xAgKu
B01364B00K,,746000000000.0,Inconnue,12.6 ounces,"belkin/bst301tt,belkintravelrockstarsurgeprotectorwith2acoutlets/bebst301tt,745883685172,belkintravelrockstarsurgeprotectorwith2acoutlets/3982531,belkintravelrockstarsurgeprotectorwith2acoutlets/222581045638,travelrockstar3in12ausbdualoutletwallchargerwithinternal3000mahbatterypack/bebst301tt,belkintravelrockstarsurgeprotectorwith2acoutlets/4859664,belkintravelrockstarsurgeprotectorwith2acoutlets/b01364b00k",AVpgjaudilAPnD_xuDKC
B00F6PRSMW,,714000000000.0,9.2 x 7.6 x 5.2 inches,2.43 pounds,"bowerswilkinsp7overearheadphonesblack/2436009,714346319701,bowerswilkinsp7wiredoverearheadphones/b00f6prsmw,bowerswilkinsp7headphonesblackwired/b00f6prsmw,bowerswilkins/p7",AVpiAzN7ilAPnD_x_wOJ
B01AEW9E46,,50036328623.0,3.0 in x 6.9 in x 6.7 in,10.8 oz,"everestelite700aroundearwirelessheadphoneswhite/4403709,jbl/v700nxtwht,everestelite700aroundearwirelessheadphoneswhite/b01aew9e46,050036328623,everestelite700aroundearwirelessheadphoneswhite/jbv700nxtwht",AVpfnuDailAPnD_xfKZY
B00009WCBT,760000000000.0,760000000000.0,Inconnue,1.2 pounds,"759599751809,0759599751809,allroundsoftware/claritysr200,claritysuperloudphoneringerwhite/2193417,claritysuperloudphoneringerwhite/b00009wcbt,claritysuperloudphoneringerwhite/2056242,claritytelecom/claritysr200,claritysuperloudphoneringerwhite/563251985",AVpi-P111cnluZ0-SVqq
B00RZYD51A,,847000000000.0,3.4 x 8.8 x 9.9 inches,2.8 pounds,"846885005156,houseofmarleyemdh003psttrnoisecancellingoverearheadphonesblack/b00rzyd51a,houseofmarleyemdh003psttrnoisecancellingoverearheadphonesblack/9sia7vt3mm0380,houseofmarleyemdh003psttrnoisecancellingoverearheadphonesblack/2866123,houseofmarley/emdh003ps",AVpg8GjjLJeJML43Uplr
B0742RMVQ8,,819000000000.0,7.1 x 9.6 x 4.6 inches,10.2 pounds,"toshiba30wmainunitspeakersystemcombosetblack/5937008,toshibamicrocomponentspeakersystemwirelessbluetoothspeakersoundsystemwithfm/b0742rmvq8,toshiba30wmainunitspeakersystemcombosetblack/b0742rmvq8,toshiba/tyasw91,toshiba30wmainunitspeakersystemcombosetblack/564830042,818723020126",AV2Zps11GV-KLJ3al16A
B00L2EWRW2,,713000000000.0,Inconnue,13.8 pounds,"kicker41ik5bt2v2amphitheaterhighperformanceaudiosystemwithbluetoothblack/4415503,kicker/41ik5bt2v2,kicker41ik5bt2v2amphitheaterhighperformanceaudiosystemwithbluetoothblack/b00l2ewrw2,kicker41ik5bt2v2amphitheaterhighperformanceaudiosystemwithbluetoothblack/553124514,713034070733",AVpe5iL11cnluZ0-ZVzB
B00PASUGTC,,850000000000.0,Inconnue,20.2 lb,"850071005356,primethreewaycenterchannelspeakerpremiumblackash/b00pasugtc,primethreewaycenterchannelspeakerpremiumblackash/5707703,svs/primecenterblackash,primethreewaycenterchannelspeakerpremiumblackash/svprmcntrbka",AVpe9BGF1cnluZ0-annA
B008JJLZ7G,,718000000000.0,4.0 in x 5.8 in x 1.0 in,1.32 lb,"2tbred5400rpmsataiii35internalnashdd/b008jjlz7g,wd/wd20efrx,718037799667,2tbred5400rpmsataiii35internalnashdd/2764463,2tbred5400rpmsataiii35internalnashdd/wewd20efrx,2tbred5400rpmsataiii35internalnashdd/142445493836,2tbred5400rpmsataiii35internalnashdd/6560007",AVpfVI9wilAPnD_xZxH-
